,ID,Position,FullName,Team,TOI,OT,SO,T,W,L,Saves,PPSaves,SHSaves,EVSaves,SHShots,EVShots,PPShots,SvPct,GAA,G,GS,ShotsAgainst,GoalsAgainst,TOIperGame,PPSvPct,SHSvPct,EVSvPct
21,8475789,G,Jack Campbell,Toronto Maple Leafs,1566:59,3,0,0,11,12,688,72,21,595,22,653,86,0.904,2.7952,26,26,761,73,60:16,83.72093023255816,95.45454545454544,91.11791730474731
22,8475883,G,Frederik Andersen,Toronto Maple Leafs,3006:40,7,3,0,29,13,1434,181,41,1212,45,1321,211,0.909,2.8537,52,52,1577,143,57:49,85.78199052132702,91.11111111111113,91.74867524602574
23,8477180,G,Aaron Dell,Toronto Maple Leafs,1834:14,3,0,0,12,15,894,118,24,752,26,827,133,0.907,3.0094,33,30,986,92,55:34,88.72180451127821,92.30769230769229,90.9310761789601
24,8473503,G,James Reimer,Carolina Hurricanes,1378:01,2,3,0,14,6,651,109,13,529,15,574,123,0.914,2.656,25,24,712,61,55:07,88.6178861788618,86.66666666666669,92.16027874564459
25,8475852,G,Petr Mrazek,Carolina Hurricanes,2320:59,2,3,0,21,16,987,150,23,814,25,893,173,0.905,2.6885,40,38,1091,104,58:01,86.70520231213871,92.0,91.15341545352743
26,8477968,G,Alex Nedeljkovic,Carolina Hurricanes,216:19,1,0,0,1,2,86,17,1,68,1,77,19,0.887,3.0511,4,3,97,11,54:04,89.47368421052632,100.0,88.31168831168831
27,8475683,G,Sergei Bobrovsky,Florida Panthers,2805:59,6,1,0,23,19,1354,190,48,1116,51,1236,218,0.9,3.2288,50,49,1505,151,56:07,87.1559633027523,94.11764705882351,90.29126213592234
28,8476904,G,Chris Driedger,Florida Panthers,642:40,1,1,0,7,2,332,37,8,287,9,304,41,0.938,2.0539,12,11,354,22,53:33,90.24390243902441,88.8888888888889,94.4078947368421
29,8478470,G,Sam Montembeault,Florida Panthers,700:45,1,0,0,5,5,317,38,10,269,10,300,46,0.89,3.3393,14,9,356,39,50:03,82.6086956521739,100.0,89.66666666666666
30,8470147,G,Curtis McElhinney,Tampa Bay Lightning,1080:56,3,1,0,8,7,499,80,16,403,18,441,92,0.9059999999999999,2.8864,18,18,551,52,60:03,86.95652173913044,88.8888888888889,91.38321995464851
31,8476883,G,Andrei Vasilevskiy,Tampa Bay Lightning,3121:54,3,3,0,35,14,1472,203,62,1207,66,1305,234,0.917,2.5561,52,52,1605,133,60:02,86.75213675213675,93.93939393939394,92.4904214559387
32,8468685,G,Henrik Lundqvist,Washington Capitals,1596:44,3,1,0,10,12,799,131,34,634,37,690,156,0.905,3.1564,30,26,883,84,53:13,83.97435897435899,91.8918918918919,91.88405797101449
33,8478492,G,Ilya Samsonov,Washington Capitals,1411:02,2,1,0,16,6,629,83,29,517,34,560,95,0.9129999999999999,2.5513,26,22,689,60,54:16,87.36842105263159,85.29411764705883,92.32142857142858
34,8476876,G,Malcolm Subban,Chicago Blackhawks,1134:15,3,0,0,9,7,486,71,14,401,15,447,84,0.89,3.1739,21,19,546,60,54:00,84.52380952380952,93.33333333333331,89.70917225950781
35,8471306,G,Thomas Greiss,Detroit Red Wings,1595:56,4,0,0,16,9,765,74,13,678,14,737,87,0.9129999999999999,2.7445,31,29,838,73,51:28,85.0574712643678,92.85714285714286,91.99457259158753
36,8473541,G,Jonathan Bernier,Detroit Red Wings,2565:56,3,1,0,15,22,1227,194,42,991,49,1079,225,0.907,2.9463,46,41,1353,126,55:46,86.22222222222223,85.71428571428571,91.84430027803522
37,8471469,G,Pekka Rinne,Nashville Predators,1987:46,4,3,0,18,14,899,110,19,770,23,840,141,0.895,3.1694,36,35,1004,105,55:12,78.01418439716312,82.6086956521739,91.66666666666666
38,8477424,G,Juuse Saros,Nashville Predators,2176:50,4,4,0,17,12,1044,154,31,859,34,935,173,0.914,2.7012,40,34,1142,98,54:25,89.01734104046244,91.17647058823529,91.8716577540107
39,8476412,G,Jordan Binnington,St. Louis Blues,2947:41,7,3,0,30,13,1304,194,49,1061,53,1151,226,0.912,2.5647,50,50,1430,126,58:57,85.84070796460179,92.45283018867924,92.18071242397914
40,8474593,G,Jacob Markstrom,Calgary Flames,2551:53,4,2,0,23,16,1303,183,30,1090,32,1179,209,0.9179999999999999,2.7509,43,43,1420,117,59:20,87.55980861244021,93.75,92.45122985581
