,ID,FullName,Link,PosCode,PosName,PosType,PosAbbreviation,Team
88,8480797,Joel Farabee,/api/v1/people/8480797,L,Left Wing,Forward,LW,Philadelphia Flyers
89,8481178,Egor Zamula,/api/v1/people/8481178,D,Defenseman,Defenseman,D,Philadelphia Flyers
90,8478043,Sam Lafferty,/api/v1/people/8478043,C,Center,Forward,C,Pittsburgh Penguins
91,8478074,Anthony Angello,/api/v1/people/8478074,C,Center,Forward,C,Pittsburgh Penguins
92,8471215,Evgeni Malkin,/api/v1/people/8471215,C,Center,Forward,C,Pittsburgh Penguins
93,8471675,Sidney Crosby,/api/v1/people/8471675,C,Center,Forward,C,Pittsburgh Penguins
94,8471724,Kris Letang,/api/v1/people/8471724,D,Defenseman,Defenseman,D,Pittsburgh Penguins
95,8474098,Colton Sceviour,/api/v1/people/8474098,C,Center,Forward,C,Pittsburgh Penguins
96,8475208,Brian Dumoulin,/api/v1/people/8475208,D,Defenseman,Defenseman,D,Pittsburgh Penguins
97,8475722,Jason Zucker,/api/v1/people/8475722,L,Left Wing,Forward,LW,Pittsburgh Penguins
98,8475810,Bryan Rust,/api/v1/people/8475810,R,Right Wing,Forward,RW,Pittsburgh Penguins
99,8476873,Mark Jankowski,/api/v1/people/8476873,C,Center,Forward,C,Pittsburgh Penguins
100,8476875,Mike Matheson,/api/v1/people/8476875,D,Defenseman,Defenseman,D,Pittsburgh Penguins
101,8476879,Cody Ceci,/api/v1/people/8476879,D,Defenseman,Defenseman,D,Pittsburgh Penguins
102,8476927,Teddy Blueger,/api/v1/people/8476927,C,Center,Forward,C,Pittsburgh Penguins
103,8477244,Chad Ruhwedel,/api/v1/people/8477244,D,Defenseman,Defenseman,D,Pittsburgh Penguins
104,8477404,Jake Guentzel,/api/v1/people/8477404,L,Left Wing,Forward,LW,Pittsburgh Penguins
105,8477465,Tristan Jarry,/api/v1/people/8477465,G,Goalie,Goalie,G,Pittsburgh Penguins
106,8477953,Kasperi Kapanen,/api/v1/people/8477953,R,Right Wing,Forward,RW,Pittsburgh Penguins
107,8477955,Jared McCann,/api/v1/people/8477955,C,Center,Forward,C,Pittsburgh Penguins
108,8477969,Marcus Pettersson,/api/v1/people/8477969,D,Defenseman,Defenseman,D,Pittsburgh Penguins
109,8478507,John Marino,/api/v1/people/8478507,D,Defenseman,Defenseman,D,Pittsburgh Penguins
110,8478542,Evan Rodrigues,/api/v1/people/8478542,C,Center,Forward,C,Pittsburgh Penguins
111,8479293,Brandon Tanev,/api/v1/people/8479293,L,Left Wing,Forward,LW,Pittsburgh Penguins
112,8479944,Zach Aston-Reese,/api/v1/people/8479944,C,Center,Forward,C,Pittsburgh Penguins
113,8480945,Juuso Riikola,/api/v1/people/8480945,D,Defenseman,Defenseman,D,Pittsburgh Penguins
114,8476191,Kevan Miller,/api/v1/people/8476191,D,Defenseman,Defenseman,D,Boston Bruins
115,8470638,Patrice Bergeron,/api/v1/people/8470638,C,Center,Forward,C,Boston Bruins
116,8470860,Jaroslav Halak,/api/v1/people/8470860,G,Goalie,Goalie,G,Boston Bruins
117,8471276,David Krejci,/api/v1/people/8471276,C,Center,Forward,C,Boston Bruins
118,8471695,Tuukka Rask,/api/v1/people/8471695,G,Goalie,Goalie,G,Boston Bruins
119,8473419,Brad Marchand,/api/v1/people/8473419,L,Left Wing,Forward,LW,Boston Bruins
120,8475186,John Moore,/api/v1/people/8475186,D,Defenseman,Defenseman,D,Boston Bruins
121,8475225,Craig Smith,/api/v1/people/8475225,R,Right Wing,Forward,RW,Boston Bruins
122,8475735,Greg McKegg,/api/v1/people/8475735,C,Center,Forward,C,Boston Bruins
123,8475745,Charlie Coyle,/api/v1/people/8475745,C,Center,Forward,C,Boston Bruins
124,8475780,Chris Wagner,/api/v1/people/8475780,R,Right Wing,Forward,RW,Boston Bruins
125,8476374,Sean Kuraly,/api/v1/people/8476374,C,Center,Forward,C,Boston Bruins
126,8477365,Connor Clifton,/api/v1/people/8477365,D,Defenseman,Defenseman,D,Boston Bruins
127,8477941,Nick Ritchie,/api/v1/people/8477941,L,Left Wing,Forward,LW,Boston Bruins
128,8477956,David Pastrnak,/api/v1/people/8477956,R,Right Wing,Forward,RW,Boston Bruins
129,8478075,Anders Bjork,/api/v1/people/8478075,L,Left Wing,Forward,LW,Boston Bruins
130,8478131,Ondrej Kase,/api/v1/people/8478131,R,Right Wing,Forward,RW,Boston Bruins
131,8478443,Brandon Carlo,/api/v1/people/8478443,D,Defenseman,Defenseman,D,Boston Bruins
132,8478468,Jeremy Lauzon,/api/v1/people/8478468,D,Defenseman,Defenseman,D,Boston Bruins
133,8479325,Charlie McAvoy,/api/v1/people/8479325,D,Defenseman,Defenseman,D,Boston Bruins
134,8479365,Trent Frederic,/api/v1/people/8479365,C,Center,Forward,C,Boston Bruins
135,8480021,Jack Studnicka,/api/v1/people/8480021,C,Center,Forward,C,Boston Bruins
136,8480944,Par Lindholm,/api/v1/people/8480944,C,Center,Forward,C,Boston Bruins
137,8479420,Tage Thompson,/api/v1/people/8479420,R,Right Wing,Forward,RW,Buffalo Sabres
138,8476999,Linus Ullmark,/api/v1/people/8476999,G,Goalie,Goalie,G,Buffalo Sabres
139,8477933,Sam Reinhart,/api/v1/people/8477933,C,Center,Forward,C,Buffalo Sabres
140,8477986,Brandon Montour,/api/v1/people/8477986,D,Defenseman,Defenseman,D,Buffalo Sabres
141,8478109,Victor Olofsson,/api/v1/people/8478109,L,Left Wing,Forward,LW,Buffalo Sabres
142,8470595,Eric Staal,/api/v1/people/8470595,C,Center,Forward,C,Buffalo Sabres
143,8473449,Kyle Okposo,/api/v1/people/8473449,R,Right Wing,Forward,RW,Buffalo Sabres
144,8475236,Cody Eakin,/api/v1/people/8475236,C,Center,Forward,C,Buffalo Sabres
145,8475622,Carter Hutton,/api/v1/people/8475622,G,Goalie,Goalie,G,Buffalo Sabres
146,8475625,Matt Irwin,/api/v1/people/8475625,D,Defenseman,Defenseman,D,Buffalo Sabres
147,8475784,Jeff Skinner,/api/v1/people/8475784,L,Left Wing,Forward,LW,Buffalo Sabres
148,8475791,Taylor Hall,/api/v1/people/8475791,L,Left Wing,Forward,LW,Buffalo Sabres
149,8475869,Brandon Davidson,/api/v1/people/8475869,D,Defenseman,Defenseman,D,Buffalo Sabres
150,8476356,Tobias Rieder,/api/v1/people/8476356,C,Center,Forward,C,Buffalo Sabres
151,8476396,Steven Fogarty,/api/v1/people/8476396,C,Center,Forward,C,Buffalo Sabres
152,8476525,Colin Miller,/api/v1/people/8476525,D,Defenseman,Defenseman,D,Buffalo Sabres
153,8476878,Zemgus Girgensons,/api/v1/people/8476878,C,Center,Forward,C,Buffalo Sabres
154,8476931,Jake McCabe,/api/v1/people/8476931,D,Defenseman,Defenseman,D,Buffalo Sabres
155,8477499,Rasmus Ristolainen,/api/v1/people/8477499,D,Defenseman,Defenseman,D,Buffalo Sabres
156,8477508,Curtis Lazar,/api/v1/people/8477508,C,Center,Forward,C,Buffalo Sabres
157,8478403,Jack Eichel,/api/v1/people/8478403,C,Center,Forward,C,Buffalo Sabres
158,8480035,Henri Jokiharju,/api/v1/people/8480035,D,Defenseman,Defenseman,D,Buffalo Sabres
159,8480839,Rasmus Dahlin,/api/v1/people/8480839,D,Defenseman,Defenseman,D,Buffalo Sabres
160,8476981,Josh Anderson,/api/v1/people/8476981,R,Right Wing,Forward,RW,Montréal Canadiens
161,8476443,Xavier Ouellet,/api/v1/people/8476443,D,Defenseman,Defenseman,D,Montréal Canadiens
162,8477460,Laurent Dauphin,/api/v1/people/8477460,C,Center,Forward,C,Montréal Canadiens
163,8479990,Josh Brook,/api/v1/people/8479990,D,Defenseman,Defenseman,D,Montréal Canadiens
164,8480829,Jesperi Kotkaniemi,/api/v1/people/8480829,C,Center,Forward,C,Montréal Canadiens
165,8470642,Shea Weber,/api/v1/people/8470642,D,Defenseman,Defenseman,D,Montréal Canadiens
166,8471679,Carey Price,/api/v1/people/8471679,G,Goalie,Goalie,G,Montréal Canadiens
167,8473507,Jeff Petry,/api/v1/people/8473507,D,Defenseman,Defenseman,D,Montréal Canadiens
168,8474038,Paul Byron,/api/v1/people/8474038,L,Left Wing,Forward,LW,Montréal Canadiens
169,8474596,Jake Allen,/api/v1/people/8474596,G,Goalie,Goalie,G,Montréal Canadiens
170,8475193,Tomas Tatar,/api/v1/people/8475193,L,Left Wing,Forward,LW,Montréal Canadiens
171,8475279,Ben Chiarot,/api/v1/people/8475279,D,Defenseman,Defenseman,D,Montréal Canadiens
172,8475726,Tyler Toffoli,/api/v1/people/8475726,R,Right Wing,Forward,RW,Montréal Canadiens
173,8475738,Jordan Weal,/api/v1/people/8475738,C,Center,Forward,C,Montréal Canadiens
174,8475848,Brendan Gallagher,/api/v1/people/8475848,R,Right Wing,Forward,RW,Montréal Canadiens
175,8475968,Alex Belzile,/api/v1/people/8475968,R,Right Wing,Forward,RW,Montréal Canadiens
176,8476441,Joel Edmundson,/api/v1/people/8476441,D,Defenseman,Defenseman,D,Montréal Canadiens
177,8476469,Joel Armia,/api/v1/people/8476469,R,Right Wing,Forward,RW,Montréal Canadiens
178,8476479,Phillip Danault,/api/v1/people/8476479,C,Center,Forward,C,Montréal Canadiens
179,8476948,Charles Hudon,/api/v1/people/8476948,L,Left Wing,Forward,LW,Montréal Canadiens
180,8476967,Brett Kulak,/api/v1/people/8476967,D,Defenseman,Defenseman,D,Montréal Canadiens
181,8477467,Gustav Olofsson,/api/v1/people/8477467,D,Defenseman,Defenseman,D,Montréal Canadiens
182,8477476,Artturi Lehkonen,/api/v1/people/8477476,L,Left Wing,Forward,LW,Montréal Canadiens
183,8477494,Jonathan Drouin,/api/v1/people/8477494,L,Left Wing,Forward,LW,Montréal Canadiens
184,8478133,Jake Evans,/api/v1/people/8478133,C,Center,Forward,C,Montréal Canadiens
185,8478454,Noah Juulsen,/api/v1/people/8478454,D,Defenseman,Defenseman,D,Montréal Canadiens
186,8478933,Michael McNiven,/api/v1/people/8478933,G,Goalie,Goalie,G,Montréal Canadiens
187,8479292,Charlie Lindgren,/api/v1/people/8479292,G,Goalie,Goalie,G,Montréal Canadiens
188,8479376,Victor Mete,/api/v1/people/8479376,D,Defenseman,Defenseman,D,Montréal Canadiens
189,8479985,Cale Fleury,/api/v1/people/8479985,D,Defenseman,Defenseman,D,Montréal Canadiens
190,8480018,Nick Suzuki,/api/v1/people/8480018,C,Center,Forward,C,Montréal Canadiens
191,8480051,Cayden Primeau,/api/v1/people/8480051,G,Goalie,Goalie,G,Montréal Canadiens
192,8480068,Ryan Poehling,/api/v1/people/8480068,C,Center,Forward,C,Montréal Canadiens
193,8474230,Micheal Haley,/api/v1/people/8474230,L,Left Wing,Forward,LW,Ottawa Senators
194,8475195,Anders Nilsson,/api/v1/people/8475195,G,Goalie,Goalie,G,Ottawa Senators
195,8476899,Matt Murray,/api/v1/people/8476899,G,Goalie,Goalie,G,Ottawa Senators
196,8476919,Chris Tierney,/api/v1/people/8476919,C,Center,Forward,C,Ottawa Senators
197,8477015,Connor Brown,/api/v1/people/8477015,R,Right Wing,Forward,RW,Ottawa Senators
198,8477426,Nick Paul,/api/v1/people/8477426,L,Left Wing,Forward,LW,Ottawa Senators
199,8473573,Artem Anisimov,/api/v1/people/8473573,C,Center,Forward,C,Ottawa Senators
200,8474149,Evgenii Dadonov,/api/v1/people/8474149,R,Right Wing,Forward,RW,Ottawa Senators
201,8475766,Austin Watson,/api/v1/people/8475766,L,Left Wing,Forward,LW,Ottawa Senators
202,8475790,Erik Gudbranson,/api/v1/people/8475790,D,Defenseman,Defenseman,D,Ottawa Senators
203,8476422,Mike Reilly,/api/v1/people/8476422,D,Defenseman,Defenseman,D,Ottawa Senators
204,8476851,Alex Galchenyuk,/api/v1/people/8476851,L,Left Wing,Forward,LW,Ottawa Senators
205,8477384,Josh Brown,/api/v1/people/8477384,D,Defenseman,Defenseman,D,Ottawa Senators
206,8477405,Marcus Hogberg,/api/v1/people/8477405,G,Goalie,Goalie,G,Ottawa Senators
207,8478400,Colin White,/api/v1/people/8478400,C,Center,Forward,C,Ottawa Senators
208,8478469,Thomas Chabot,/api/v1/people/8478469,D,Defenseman,Defenseman,D,Ottawa Senators
209,8478846,Christian Wolanin,/api/v1/people/8478846,D,Defenseman,Defenseman,D,Ottawa Senators
210,8479458,Nikita Zaitsev,/api/v1/people/8479458,D,Defenseman,Defenseman,D,Ottawa Senators
211,8480801,Brady Tkachuk,/api/v1/people/8480801,L,Left Wing,Forward,LW,Ottawa Senators
212,8469455,Jason Spezza,/api/v1/people/8469455,C,Center,Forward,C,Toronto Maple Leafs
213,8474162,Jake Muzzin,/api/v1/people/8474162,D,Defenseman,Defenseman,D,Toronto Maple Leafs
214,8474190,Wayne Simmonds,/api/v1/people/8474190,R,Right Wing,Forward,RW,Toronto Maple Leafs
215,8474567,Zach Bogosian,/api/v1/people/8474567,D,Defenseman,Defenseman,D,Toronto Maple Leafs
216,8474636,Michael Hutchinson,/api/v1/people/8474636,G,Goalie,Goalie,G,Toronto Maple Leafs
217,8474673,TJ Brodie,/api/v1/people/8474673,D,Defenseman,Defenseman,D,Toronto Maple Leafs
218,8475166,John Tavares,/api/v1/people/8475166,C,Center,Forward,C,Toronto Maple Leafs
219,8475716,Martin Marincin,/api/v1/people/8475716,D,Defenseman,Defenseman,D,Toronto Maple Leafs
220,8475718,Justin Holl,/api/v1/people/8475718,D,Defenseman,Defenseman,D,Toronto Maple Leafs
221,8475786,Zach Hyman,/api/v1/people/8475786,L,Left Wing,Forward,LW,Toronto Maple Leafs
222,8475789,Jack Campbell,/api/v1/people/8475789,G,Goalie,Goalie,G,Toronto Maple Leafs
223,8475883,Frederik Andersen,/api/v1/people/8475883,G,Goalie,Goalie,G,Toronto Maple Leafs
224,8476329,Travis Boyd,/api/v1/people/8476329,C,Center,Forward,C,Toronto Maple Leafs
225,8476853,Morgan Rielly,/api/v1/people/8476853,D,Defenseman,Defenseman,D,Toronto Maple Leafs
226,8476918,Jimmy Vesey,/api/v1/people/8476918,L,Left Wing,Forward,LW,Toronto Maple Leafs
