,ID,Season,Position,FullName,TOI,OT,SO,W,L,Saves,PPSaves,SHSaves,EVSaves,SHShots,EVShots,PPShots,SvPct,GAA,G,GS,ShotsAgainst,GoalsAgainst,TOIperGame,PPSvPct,SHSvPct,EVSvPct
22,8473607,20172018,G,Michal Neuvirth,1038:43,3.0,1.0,9.0,7.0,485.0,51.0,12.0,422.0,15.0,452.0,63.0,0.9150940000000001,2.599361,22.0,18.0,530.0,45.0,47:12,80.95238095238095,80.0,93.36283185840708
23,8474550,20172018,G,Antti Niemi,1213:06,4.0,1.0,7.0,9.0,647.0,117.0,17.0,513.0,17.0,553.0,140.0,0.9112680000000001,3.115984,24.0,20.0,710.0,63.0,50:32,83.57142857142857,100.0,92.76672694394213
24,8471750,20172018,G,Ben Bishop,2886:50,5.0,5.0,26.0,17.0,1317.0,217.0,47.0,1053.0,50.0,1142.0,245.0,0.916493,2.494082,53.0,51.0,1437.0,120.0,54:28,88.57142857142857,94.0,92.20665499124344
25,8471239,20172018,G,Cory Schneider,2332:15,6.0,1.0,17.0,16.0,1114.0,169.0,34.0,911.0,36.0,996.0,196.0,0.907166,2.9327900000000002,40.0,40.0,1228.0,114.0,58:18,86.22448979591837,94.44444444444444,91.46586345381527
26,8471219,20172018,G,Al Montoya,691:44,2.0,0.0,4.0,3.0,309.0,30.0,8.0,271.0,9.0,296.0,41.0,0.893064,3.209329,13.0,8.0,346.0,37.0,53:12,73.17073170731706,88.8888888888889,91.55405405405406
27,8473461,20172018,G,Steve Mason,684:53,1.0,1.0,5.0,6.0,355.0,67.0,11.0,277.0,11.0,304.0,77.0,0.9056120000000001,3.241428,13.0,12.0,392.0,37.0,52:41,87.01298701298703,100.0,91.11842105263158
28,8473434,20172018,G,Chad Johnson,1773:32,3.0,0.0,10.0,16.0,857.0,122.0,18.0,717.0,21.0,796.0,145.0,0.8908520000000001,3.552231,36.0,29.0,962.0,105.0,49:15,84.13793103448276,85.71428571428571,90.07537688442213
29,8471227,20172018,G,Devan Dubnyk,3450:19,7.0,5.0,35.0,16.0,1624.0,209.0,34.0,1381.0,37.0,1491.0,241.0,0.918033,2.5215080000000003,60.0,59.0,1769.0,145.0,57:30,86.72199170124482,91.8918918918919,92.6224010731053
30,8471418,20172018,G,Anton Khudobin,1780:43,7.0,1.0,16.0,6.0,800.0,128.0,40.0,632.0,43.0,689.0,144.0,0.913242,2.560767,31.0,29.0,876.0,76.0,57:26,88.8888888888889,93.02325581395347,91.72714078374456
31,8475683,20172018,G,Sergei Bobrovsky,3911:34,6.0,5.0,37.0,22.0,1835.0,207.0,41.0,1587.0,46.0,1698.0,249.0,0.920723,2.423581,65.0,65.0,1993.0,158.0,60:10,83.13253012048195,89.13043478260867,93.46289752650176
